batch_size,elapsed,end_time,max_output_tokens,repeat,seed,start_time,path_run,peak_power[W],mean_power[W]
550,51.138686,2025-09-18 16:31:03.916427,1024,0,2854,2025-09-18 16:30:12.777741,/projects/aiuserapps/genai_power_dataset/01_aggregated_datasets/inference_offline_llama3_70b/results/000000.parquet,3053.759064806108,2822.1042929558016
550,47.384165,2025-09-18 16:31:53.300838,1024,1,2854,2025-09-18 16:31:05.916673,/projects/aiuserapps/genai_power_dataset/01_aggregated_datasets/inference_offline_llama3_70b/results/000001.parquet,3048.8398240629795,2814.3508628019727
550,48.96585,2025-09-18 16:32:44.266972,1024,2,2854,2025-09-18 16:31:55.301122,/projects/aiuserapps/genai_power_dataset/01_aggregated_datasets/inference_offline_llama3_70b/results/000002.parquet,3042.525523116057,2798.0141205470413
275,31.404551,2025-09-18 16:33:17.671786,1024,0,11754,2025-09-18 16:32:46.267235,/projects/aiuserapps/genai_power_dataset/01_aggregated_datasets/inference_offline_llama3_70b/results/000003.parquet,3035.1285152586756,2694.764568367051
275,29.579327,2025-09-18 16:33:49.251336,1024,1,11754,2025-09-18 16:33:19.672009,/projects/aiuserapps/genai_power_dataset/01_aggregated_datasets/inference_offline_llama3_70b/results/000004.parquet,2855.9222932092102,2696.992150841359
275,29.805107,2025-09-18 16:34:21.056701,1024,2,11754,2025-09-18 16:33:51.251594,/projects/aiuserapps/genai_power_dataset/01_aggregated_datasets/inference_offline_llama3_70b/results/000005.parquet,2862.862535583466,2704.8256245687558
650,38.709327,2025-09-18 16:35:01.766313,512,0,17298,2025-09-18 16:34:23.056986,/projects/aiuserapps/genai_power_dataset/01_aggregated_datasets/inference_offline_llama3_70b/results/000006.parquet,3067.4946710094105,2752.4267639334385
650,34.016874,2025-09-18 16:35:37.783415,512,1,17298,2025-09-18 16:35:03.766541,/projects/aiuserapps/genai_power_dataset/01_aggregated_datasets/inference_offline_llama3_70b/results/000007.parquet,2875.8443937709335,2723.492152558306
650,33.604777,2025-09-18 16:36:13.388455,512,2,17298,2025-09-18 16:35:39.783678,/projects/aiuserapps/genai_power_dataset/01_aggregated_datasets/inference_offline_llama3_70b/results/000008.parquet,2899.4584732894928,2725.48959766363
575,52.285024,2025-09-18 16:37:07.673706,1024,0,22859,2025-09-18 16:36:15.388682,/projects/aiuserapps/genai_power_dataset/01_aggregated_datasets/inference_offline_llama3_70b/results/000009.parquet,3058.100430891484,2821.005433467262
