,model,nodes,repeat,path_save,slurmid
0,llama2_70b_lora,2,0,training/results/000000.parquet,10742795
1,llama2_70b_lora,2,1,training/results/000001.parquet,10742796
2,llama2_70b_lora,2,2,training/results/000002.parquet,10742797
3,llama2_70b_lora,2,3,training/results/000003.parquet,10742798
4,llama2_70b_lora,2,4,training/results/000004.parquet,10742800
5,llama2_70b_lora,4,0,training/results/000005.parquet,10742829
6,llama2_70b_lora,4,1,training/results/000006.parquet,10742831
7,llama2_70b_lora,4,2,training/results/000007.parquet,10742832
8,llama2_70b_lora,4,3,training/results/000008.parquet,10742833
9,llama2_70b_lora,4,4,training/results/000009.parquet,10742834
10,llama2_70b_lora,8,0,training/results/000010.parquet,10742766
11,llama2_70b_lora,8,1,training/results/000011.parquet,10742817
12,llama2_70b_lora,8,2,training/results/000012.parquet,10742818
13,llama2_70b_lora,8,3,training/results/000013.parquet,10742819
14,llama2_70b_lora,8,4,training/results/000014.parquet,10742820
15,llama2_70b_lora,8,5,training/results/000015.parquet,10742821
16,llama2_70b_lora,16,0,training/results/000016.parquet,10742842
17,llama2_70b_lora,16,1,training/results/000017.parquet,10742843
18,llama2_70b_lora,16,2,training/results/000018.parquet,10742844
19,llama2_70b_lora,16,3,training/results/000019.parquet,10742845
20,llama2_70b_lora,16,4,training/results/000020.parquet,10742846
21,stable_diffusion,2,0,training/results/000021.parquet,10742951
22,stable_diffusion,2,1,training/results/000022.parquet,10742971
23,stable_diffusion,2,2,training/results/000023.parquet,10742974
24,stable_diffusion,2,3,training/results/000024.parquet,10742976
25,stable_diffusion,2,4,training/results/000025.parquet,10742977
26,stable_diffusion,2,5,training/results/000026.parquet,10742978
27,stable_diffusion,4,0,training/results/000027.parquet,10742981
28,stable_diffusion,4,1,training/results/000028.parquet,10742982
29,stable_diffusion,4,2,training/results/000029.parquet,10742983
30,stable_diffusion,4,3,training/results/000030.parquet,10742986
31,stable_diffusion,4,4,training/results/000031.parquet,10742988
32,stable_diffusion,8,0,training/results/000032.parquet,10742992
33,stable_diffusion,8,1,training/results/000033.parquet,10742993
34,stable_diffusion,8,2,training/results/000034.parquet,10742994
35,stable_diffusion,8,3,training/results/000035.parquet,10742995
36,stable_diffusion,8,4,training/results/000036.parquet,10742996
37,stable_diffusion,16,0,training/results/000037.parquet,10743000
38,stable_diffusion,16,1,training/results/000038.parquet,10743001
39,stable_diffusion,16,2,training/results/000039.parquet,10743003
40,stable_diffusion,16,3,training/results/000040.parquet,10743005
