start_s,end_s,duration_s,drop_pct,min_power_W,baseline_W
0.0,313.2,313.2,74.438,6756.865,45515.054
321.0,323.6,2.6,16.325,37902.629,45515.054
331.0,334.2,3.2,17.421,32435.958,45515.054
342.2,344.6,2.4,15.96,37979.749,45515.054
352.6,355.2,2.6,16.244,37925.541,45515.054
363.0,365.6,2.6,15.695,38156.352,45515.054
373.4,376.2,2.8,16.31,37962.324,45515.054
384.0,386.4,2.4,15.379,38427.547,45515.054
394.4,397.0,2.6,16.353,37970.774,45515.054
405.0,407.4,2.4,15.452,38162.964,45515.054
415.4,418.0,2.6,15.981,38096.062,45515.054
426.0,428.4,2.4,15.846,38034.756,45515.054
435.4,439.4,4.0,20.322,28111.827,45515.054
447.4,450.0,2.6,16.028,38057.94,45515.054
457.8,460.4,2.6,15.644,38133.692,45515.054
468.4,470.8,2.4,16.29,38017.253,45515.054
478.8,481.2,2.4,15.427,38341.429,45515.054
489.2,491.8,2.6,16.246,38032.946,45515.054
499.8,502.2,2.4,15.425,38263.532,45515.054
510.2,512.8,2.6,15.99,38077.63,45515.054
520.8,523.2,2.4,15.521,38179.354,45515.054
531.2,533.6,2.4,15.782,38063.132,45515.054
541.2,544.4,3.2,17.003,32505.73,45515.054
551.8,555.0,3.2,16.938,32380.34,45515.054
563.0,565.4,2.4,16.036,38095.729,45515.054
573.4,575.8,2.4,15.284,38418.38,45515.054
583.8,586.4,2.6,16.215,38043.534,45515.054
594.4,596.8,2.4,15.196,38368.54,45515.054
604.8,607.4,2.6,16.12,38073.5,45515.054
615.4,618.0,2.6,15.55,38079.632,45515.054
625.8,628.4,2.6,15.716,38193.658,45515.054
636.4,638.8,2.4,15.571,38195.645,45515.054
647.0,649.4,2.4,15.411,38118.863,45515.054
657.0,660.0,3.0,16.771,33356.172,45515.054
668.0,670.4,2.4,15.224,38372.467,45515.054
678.4,681.0,2.6,15.975,38139.715,45515.054
689.2,691.4,2.2,15.013,38607.048,45515.054
699.4,702.0,2.6,15.909,38170.048,45515.054
710.0,712.4,2.4,15.41,38169.034,45515.054
720.2,723.0,2.8,16.571,35417.561,45515.054
731.0,733.4,2.4,15.636,38054.441,45515.054
741.4,743.8,2.4,15.621,38191.538,45515.054
